title,movie_type,overview
"['shawshank', 'redemption']","['Drama', 'Crime']","['imprison', '1940', 'double', 'murder', 'wife', 'lover', ',', 'upstande', 'banker', 'andy', 'dufresne', 'begin', 'new', 'life', 'shawshank', 'prison', ',', 'put', 'accounting', 'skill', 'work', 'amoral', 'warden', '.', 'long', 'stretch', 'prison', ',', 'dufresne', 'come', 'admire', 'inmate', '--', 'include', 'old', 'prisoner', 'name', 'red', '--', 'integrity', 'unquenchable', 'sense', 'hope', '.']"
['godfather'],"['Drama', 'Crime']","['span', 'year', '1945', '1955', ',', 'chronicle', 'fictional', 'italian', '-', 'american', 'corleone', 'crime', 'family', '.', 'organize', 'crime', 'family', 'patriarch', ',', 'vito', 'corleone', 'barely', 'survive', 'attempt', 'life', ',', 'young', 'son', ',', 'michael', 'step', 'care', '-', 'killer', ',', 'launch', 'campaign', 'bloody', 'revenge', '.']"
"['godfather', 'ii']","['Drama', 'Crime']","['continue', 'saga', 'corleone', 'crime', 'family', ',', 'young', 'vito', 'corleone', 'grow', 'sicily', '1910s', 'new', 'york', '.', '1950', ',', 'michael', 'corleone', 'attempts', 'expand', 'family', 'business', 'las', 'vegas', ',', 'hollywood', 'cuba', '.']"
"['schindler', 'list']","['Drama', 'History', 'War']","['true', 'story', 'businessman', 'oskar', 'schindler', 'save', 'thousand', 'jewish', 'life', 'nazi', 'work', 'slave', 'factory', 'world', 'war', 'ii', '.']"
"['12', 'angry', 'man']",['Drama'],"['defense', 'prosecution', 'rest', 'jury', 'filing', 'jury', 'room', 'decide', 'young', 'spanish', '-', 'american', 'guilty', 'innocent', 'murder', 'father', '.', 'begin', 'open', 'shut', 'case', 'soon', 'mini', '-', 'drama', 'juror', ""'"", 'prejudice', 'preconception', 'trial', ',', 'accuse', ',', '.']"
"['spirit', 'away']","['Animation', 'Family', 'Fantasy']","['young', 'girl', ',', 'chihiro', ',', 'trap', 'strange', 'new', 'world', 'spirit', '.', 'parent', 'undergo', 'mysterious', 'transformation', ',', 'courage', 'know', 'free', 'family', '.']"
"['dark', 'knight']","['Drama', 'Action', 'Crime', 'Thriller']","['batman', 'raise', 'stakes', 'war', 'crime', '.', 'help', 'lt', '.', 'jim', 'gordon', 'district', 'attorney', 'harvey', 'dent', ',', 'batman', 'set', 'dismantle', 'remain', 'criminal', 'organization', 'plague', 'street', '.', 'partnership', 'prove', 'effective', ',', 'soon', 'find', 'prey', 'reign', 'chaos', 'unleash', 'rise', 'criminal', 'mastermind', 'know', 'terrified', 'citizen', 'gotham', 'joker', '.']"
"['dilwale', 'dulhania', 'le', 'jayenge']","['Comedy', 'Drama', 'Romance']","['raj', 'rich', ',', 'carefree', ',', 'happy', '-', '-', 'lucky', 'second', 'generation', 'nri', '.', 'simran', 'daughter', 'chaudhary', 'baldev', 'singh', ',', 'spite', 'nri', 'strict', 'adherence', 'indian', 'value', '.', 'simran', 'leave', 'india', 'marry', 'childhood', 'fiancé', '.', 'raj', 'leave', 'india', 'mission', 'hand', ',', 'claim', 'lady', 'love', 'nose', 'family', '.', 'begin', 'saga', '.']"
"['green', 'mile']","['Fantasy', 'Drama', 'Crime']","['supernatural', 'tale', 'set', 'death', 'row', 'southern', 'prison', ',', 'gentle', 'giant', 'john', 'coffey', 'possess', 'mysterious', 'power', 'heal', 'people', 'ailment', '.', 'cell', 'block', 'head', 'guard', ',', 'paul', 'edgecomb', ',', 'recognize', 'coffey', 'miraculous', 'gift', ',', 'try', 'desperately', 'help', 'stave', 'condemn', 'man', 'execution', '.']"
['parasite'],"['Comedy', 'Thriller', 'Drama']","['unemployed', ',', 'ki', '-', 'taek', 'family', 'take', 'peculiar', 'interest', 'wealthy', 'glamorous', 'park', 'livelihood', 'entangle', 'unexpected', 'incident', '.']"
"['lord', 'rings', ':', 'return', 'king']","['Adventure', 'Fantasy', 'Action']","['army', 'mass', 'final', 'battle', 'decide', 'fate', 'world', '--', 'powerful', ',', 'ancient', 'force', 'light', 'dark', 'compete', 'determine', 'outcome', '--', 'member', 'fellowship', 'ring', 'reveal', 'noble', 'heir', 'throne', 'king', 'man', '.', ',', 'sole', 'hope', 'triumph', 'evil', 'lie', 'brave', 'hobbit', ',', 'frodo', ',', ',', 'accompany', 'loyal', 'friend', 'sam', 'hideous', ',', 'wretched', 'gollum', ',', 'venture', 'deep', 'dark', 'heart', 'mordor', 'seemingly', 'impossible', 'quest', 'destroy', 'ring', 'power.\u200b']"
